author_name,sentiment,compound_score,positive_score,negative_score,neutral_score,likes,reply_count,comment_text
@jtwoine,Negative,-0.1449,0.159,0.244,0.597,0,0,OK the widow is crazy as a bat. Just shut up if you that nervous
@willplumtree8061,Negative,-0.6124,0.057,0.287,0.656,0,0,"The submissive widow came across like she only wants a man who has dead ex-wives and no godkids, step kids or mentees. Awkward and nervous, but understandable."
@Mrs.Imjusttalkingshit,Negative,-0.7556,0.0,0.316,0.684,0,0,I swear these women are not listening!!! THEY ARE NOT LISTENING! That first one is a walking disaster!!
@MEvans-tt1ri,Negative,-0.6371,0.0,0.149,0.851,0,0,talking bout a waist trainer SMH!! IF SHE WAS wearing one - she should have OFFERED to take it off and GIVE IT to yo Husky Azz!!!
@BigDashKnows,Negative,-0.3089,0.0,0.17,0.83,0,0,The widow took forever to make her point and still didn't.  Respectfully
@xotaun,Positive,0.7178,0.6,0.0,0.4,0,0,Most entertaining episode in a while lol
@jeremybalizenter2896,Positive,0.6478,0.638,0.0,0.362,0,0,"46:57
I agree.  More like 68."
@april620,Positive,0.0772,0.252,0.226,0.522,0,0,The girl in the pink truly annoyed me
@Juancarlossantana2023,Positive,0.1027,0.16,0.102,0.738,0,0,That bbl the girl in the green have looks ridiculous. She pretending like that came from working out is diabolical 😂😂😂😂
@businessemail6615,Positive,0.6597,0.403,0.0,0.597,0,0,I like the woman. With the color hair she funny 🤣🤣🤣🤣
@Summer_isme53,Neutral,0.0,0.0,0.0,1.0,0,0,"Your education field is 
Psychiatry and you own a trucking company? 😂"
@7obalhusain,Positive,0.4588,0.25,0.0,0.75,0,0,Tbh I didn’t really feel the initial attraction to this video
@jeremybalizenter2896,Positive,0.6671,0.287,0.086,0.627,0,0,"We older men are not attracted to these older, hit the wall women.  We need young, fit, mature, disciplined, fit women."
@itsdarrynb,Neutral,0.0,0.0,0.0,1.0,0,0,"@10:52 Yall didn’t noticed the Army Vet said he from Tampa, Florida.. then he said he moved to Atlanta, Florida😂😂😂 Atlanta ain’t in Florida💀💀"
@thatjwgirl3131,Negative,-0.4926,0.0,0.39,0.61,0,0,Green dress intimidated all of them!
@lieshaboo16,Neutral,0.0,0.0,0.0,1.0,0,0,The lady in the pink dress…rambling about adultery…girl what?
@k.p.2706,Negative,-0.3875,0.0,0.092,0.908,0,0,"46:17 If someone were to ask me which person I thought was older? I would say that he is the 50-year-old and not her. Take care of yourself, people."
@landowilliams7903,Negative,-0.5751,0.131,0.259,0.61,0,0,"Did she say her name was Daaamn?? More like Daaaayum! Hell naaw, she BBLed up."
@a_p98,Negative,-0.2732,0.083,0.101,0.815,0,0,19:13 based on this part he seems like the type of guy that just wants to humble women. Or maybe it’s self sabotage because he’s had problems in the past. Either way he needs to figure out why he came at green dress lady like that. Maybe my opinion will change as I watch.
@zeetthasubconsciouscorrect3539,Positive,0.729,0.339,0.0,0.661,0,0,Counsel is touched. Arlette looks GREAT! What's the workout plan hunny?
@jadebennett4975,Positive,0.4215,0.318,0.0,0.682,0,0,Green dress likes to hear herself talk
@WeTravelHard,Positive,0.2263,0.073,0.0,0.927,1,0,Brah in the leather during the intro was rubbing his hands as if he were about to tackle some snowcrab legs with warm garlic butter.
@Christopher-h5f,Neutral,-0.0186,0.072,0.074,0.853,0,0,The 2nd lady in Green Lacks self accountability & too much double standards. Without blaming your ex..... then when it comes to her she blames her ex for everything... God.... the self righteousness sucks...😢
@sherwinjohnson2794,Positive,0.6229,0.505,0.0,0.495,0,0,Merry Christmas Arlette and BM!! 🎄
@alexjoe223,Negative,-0.8807,0.0,0.397,0.603,0,0,Dude said it would be unfair to put the burden on me and me put the burden on you. Smh 😂😂😂
@loveychuhtha,Neutral,0.0,0.0,0.0,1.0,0,0,That’s was a rough watch… a bunch of lemons
@473sgpm2,Positive,0.1531,0.22,0.174,0.606,0,0,Bam weight loss journey has her real good for 40🫡
@db.30,Positive,0.3612,0.094,0.0,0.906,0,0,"That lady in the pink sounded like that little boy who couldn't get his words out 😂😂😂😂 ""when you,--- when we--- we--- and you---"" 🤣🤣🤣"
@mel0wdice,Positive,0.6418,0.466,0.0,0.534,0,0,"the last matchhh >>>> 
they fit so well"
@1kimkia,Neutral,0.0,0.0,0.0,1.0,0,0,Smith 🥰🥰🥰🥰🥰 you look goodt!!!!
@Janeseym,Positive,0.3109,0.244,0.145,0.61,0,0,"The lady in pink was full of CRAP, I bet her family and friends would agree with me."
@WeTravelHard,Positive,0.9282,0.229,0.037,0.734,0,0,"The conservative brother was screaming 'BINGO' within himself; he was so cool, confident, and relaxed. As a software engineer with a PhD in business, he definitely matched her academic achievements. She almost got popped by asking him all those questions! Now, brah, take her home, combine those incomes to hit $1 million in that household, and live happily ever after."
@Goldniz,Positive,0.6408,0.679,0.0,0.321,1,0,MERRY CHRISTMAS 🎁🎄 ❤
@ladawnsheree591,Positive,0.8126,0.402,0.0,0.598,0,0,She may not have on a wait trainer but a BBL yes looks good though
@Avymac354,Neutral,0.0,0.0,0.0,1.0,0,0,"Minister, nobody in the church for you?"
@473sgpm2,Positive,0.4574,0.214,0.0,0.786,0,0,Saying that you raw dawged a lot on a pop the balloon is hilarious!
@sjinvestors250,Positive,0.8695,0.298,0.049,0.654,0,0,"These dudes want someone who doesn’t even want them 🤦‍♂️ smh bro, move on. You’re not my type.
What type? A bimbo? That’s why you’re single.
I liked the girl in green the comedian. She was really funny and cool."
@LenWein_,Neutral,0.0,0.0,0.0,1.0,1,0,Put the whole lineup in a 90sR&B group 😭
@naomist.georges7299,Neutral,0.0,0.0,0.0,1.0,1,0,What is she talking about???????🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️
@Bee-sp7mb,Neutral,0.0,0.0,0.0,1.0,1,0,She’s a foster mom but a dealbreaker is a man raising a child as his own??? She didn’t really make sense but to each their own
@malliouhanateamaccount8550,Positive,0.4019,0.31,0.0,0.69,1,0,The first lady seems feminine and sincere.
@13.Month.of.Sunshine,Positive,0.4199,0.318,0.0,0.682,0,0,"Leather fit New Orleans Brother, is Direct! 😊"
@NadineScott-mp3rw,Positive,0.4926,0.313,0.0,0.687,1,0,I hope the physician and her partner work out!
@gracemwanza1106,Positive,0.2732,0.412,0.0,0.588,0,0,Women were dressed well
@breonemcnill1466,Neutral,0.0,0.0,0.0,1.0,0,0,Do anybody have any filter or tact?
@swagtv8001,Neutral,0.0,0.0,0.0,1.0,4,0,Dude with the leather jacket is diabolical 😅😅😅😅😅
@debytesbob1329,Neutral,0.0,0.0,0.0,1.0,0,0,I thought older people will have crossed so many things on that imaginary list. Lo😂😂😂😂
@Nylcious,Negative,-0.9611,0.058,0.317,0.625,1,0,"Guy in the FAKE leather fit is talking out if his ass. Talking about ""I got the stamina"". He's running out of breath just trying to give that fuck ass explanation. He ain't got no stamina. The only stamina he got is the stamina to get the the nearest McDonald's ASAP!!!! Who does he think he's fooling"
@blaklightroyalty,Neutral,0.0,0.0,0.0,1.0,1,0,40 krew!
@mobettabrown411,Positive,0.1511,0.109,0.099,0.792,1,0,"May need therapy before looking for a partner, at their older age are still not seeming to take dating serious, First guy is just thirsty like a 19 year old kid smh! Saying Ill put a baby in you, I want to be a gift under her as he describe her as a tree, keep saying he's his daddy only child< Real Clown"
@audreysteer8644,Positive,0.5386,0.537,0.0,0.463,0,0,Arlette you’re looking stunning!!!
@audreysteer8644,Positive,0.1154,0.228,0.16,0.612,1,0,Dammit I saw the revenge of the uncs comment 😂😂😂😂 well I guess I know how this played out.
@sleepnomore6065,Negative,-0.5697,0.0,0.315,0.685,1,0,"If I have to hear ""accountabil(ity) ONE more goddamn time! 🙄"
@queenalmightypeach7221,Neutral,0.0,0.0,0.0,1.0,4,0,He kept reminding everyone that he's his daddy's only son... is somebody after the throne?
@audreysteer8644,Positive,0.296,0.155,0.0,0.845,0,0,Ok grown ups. Let’s see what’s up. I’m not reading the comments yet.
@1kimkia,Positive,0.802,0.577,0.0,0.423,0,0,I actually like the first guy lol 😂😂😂. Funny 😂😂
@jamalwilkesbooth7190,Negative,-0.4939,0.0,0.144,0.856,4,0,This has to be the weirdest group of men in the history of this show. Saying a lot and not saying a single thing at the same time. Bizarre.
@YemiTheCreative,Positive,0.5775,0.223,0.0,0.777,2,0,"""A daughter to take care of me""... is that what daughters are for??? 🤔🫣"
@Mrjdn562,Negative,-0.2484,0.0,0.153,0.847,4,0,“ Is your ex-wife still living” is a very weird question to ask 🥴 🎈🪡
@Profess84,Positive,0.8007,1.0,0.0,0.0,0,0,Happy Holidays!!!
@Gentlemen-bt3ru,Neutral,0.0,0.0,0.0,1.0,0,0,The one with the green she need to just go to a dam church instead of coming to pop the balloon she looks vary shallow
@oburge,Neutral,0.0,0.0,0.0,1.0,0,0,Jamie Foxx in the house!
@backtomyroots9811,Negative,-0.5951,0.0,0.301,0.699,1,0,"Damn dude, we get it, you’re your father’s only son…!!!!"
@sewl385,Positive,0.6808,0.175,0.042,0.783,2,0,"The first contestant likes to read about Jesus and pattern, his life after Jesus, but yet he said earlier that he slept with numerous woman. He can’t be trusted sorry"
@vivianjohnson1595,Positive,0.8643,0.193,0.042,0.765,1,0,"These man teens Don't want marriage, they want arm Candy & immature, however I' hope they do Men episodes for the next month , I enjoyed the Women actually looking for a Mate , I mountain Blew blue is looking for his big Break , he'll have a better Chance matching what gum to  pick from the store ."
@willplumtree8061,Positive,0.9218,0.484,0.0,0.516,0,0,That first match was so awesome to see happen!!!  Ingests and best wishes. What a unique woman!
@fahblizza,Positive,0.3818,0.191,0.0,0.809,2,0,I would date the comedian chick. I think they all fumbled on that one.
@landowilliams7903,Negative,-0.6486,0.0,0.177,0.823,0,0,"Is she then saying that for her to be with a man who was divorced, the ex-wife has to be dead? Damn..."
@London2ATL,Positive,0.2598,0.076,0.057,0.866,1,0,1:19:17 this woman has a lot of issues. OMG! She wants a man who's not attached to his ex's kids but wants them to inti the situation with her kids. She wants your divorced wife to be RIP. She thinks she's better than every divorced person because she's a widow. Crazy episode.
@FragranceShelf,Negative,-0.4588,0.0,0.267,0.733,0,0,"Miss pink dress... watch this, see yourself, and try at another time :/"
@michaelhughes5543,Positive,0.34,0.375,0.0,0.625,0,0,Noel is giving “Broke” Vibes
@thoughtsarelisas,Negative,-0.3182,0.0,0.434,0.566,0,0,long pink is confused
@breonemcnill1466,Neutral,0.0,0.0,0.0,1.0,0,0,Why ask about flaws?
@namastea,Negative,-0.869,0.0,0.211,0.789,0,0,"Lady in pink asking about if the ex wife is dead, and adultery, IT IS ALL BULL CRAP. ALL OF IT. I have studied that part of adultery in the bible, it is all bull crap!!!!"
@slushowoff,Neutral,0.0,0.0,0.0,1.0,1,0,Pink dressed talked half the show 😮‍💨
@itslexitracy,Negative,-0.0754,0.155,0.211,0.634,1,0,The girl in the pink rose dress scares me 👀 she makes me very nervous & uncomfortable… i know she’s nervous but she’s giving “snapped” .. like she’ll lose it in 2 seconds but quiet & quick 😂
@KambriK,Positive,0.7669,0.446,0.0,0.554,1,0,1 hour and 45 minutes!?!?!?!? Merry Christmas to us!!!!
@criminalle88,Negative,-0.8204,0.0,0.55,0.45,1,0,NGL these  dudes hella lame and rude for no reason
@473sgpm2,Positive,0.938,0.477,0.0,0.523,0,0,August is 50yrs old! She’s looking really good for her age. I love going to comedy and she does comedy too! I like that.
@shunjohn3567,Positive,0.3612,0.376,0.228,0.396,0,0,Wow Arlette lost alottttttttttt of weight..
@gloriaboyd4110,Positive,0.7906,0.7,0.0,0.3,3,0,Saved the best for last❤
@Streamkeem,Positive,0.5563,0.166,0.0,0.834,0,0,"The physician is a women id use as an example of the woman I would want to marry (minus the kids) 😂 very intelligent, feminine and open minded."
@sewl385,Negative,-0.3616,0.0,0.07,0.93,1,0,"Why are all the women on the show after the first two women, giants?? Why don’t they have anybody shorter than 5‘9“? These women are towering over these men that’s not exactly a fair lineup."
@shauneedwards5909,Positive,0.7081,0.174,0.0,0.826,0,0,1:17:56 you can’t find a husband from this one meeting but you can choose who you might want to get to know better!  Went too deep! Should have been a personal assessment.
@LexaaaHeree,Positive,0.4391,0.325,0.0,0.675,1,0,"Arlette, you are especially stunning this episode 😍"
@andreanatasharobinson9605,Negative,-0.4391,0.0,0.206,0.794,1,0,The lady in the pink is kind of weird to me. Even her answers were confusing me.
@PreciousKuhlase,Neutral,0.0,0.0,0.0,1.0,1,0,Girl in green  that’s a bbl 😅
@thoughtsarelisas,Neutral,0.0,0.0,0.0,1.0,1,0,leather jacket needs to read more books
@cyrahomega,Positive,0.7089,0.257,0.0,0.743,1,0,"1:37:32 respect, never heard a woman say it quite like that “you’re right”, she def knows her way with words"
@rasheedakins2277,Neutral,0.0,0.0,0.0,1.0,1,0,When you get a BBL or any type of body enhancement......DONT GO OVERBOARD!!!! .....IT LOOKS HORRIBLE!!!!!!
@ninaki888,Negative,-0.296,0.0,0.216,0.784,1,0,21:10 The BBL is obvious Ms. No Waist Trainer 🤣
@freddiebtv,Negative,-0.6374,0.0,0.193,0.807,3,0,I totally understand the Foster mom. She was mad nervous but I get everything she was saying 100%. Most will liss what she saying just cause the communication wasn't wrapped neatly
@missnaethecreator,Negative,-0.2732,0.0,0.174,0.826,3,0,Cut the cameras and start over with a new batch of men 😅
@ItsBri-xf6qc,Negative,-0.5423,0.0,0.333,0.667,0,0,He said I’ll drop one in you tonight is crazy lmaooo
@GummyCandy4Life,Negative,-0.5216,0.0,0.133,0.867,0,0,"Pink dress gone too deep…you just trying to to catch a date ma’am. You have foster kids at home, you’re not traveling for love."
@alittlechocolatedrop,Positive,0.7717,0.261,0.0,0.739,0,0,"Last woman in her Porsha (Real Housewives) vibe.  Best overall fit, IMO: woman rocking all black and woman rocking all green."
@hgooden79,Neutral,0.0,0.0,0.0,1.0,0,0,And who called bro fat before he got on the show? He went off!
@brandonpokowski1516,Neutral,0.0,0.0,0.0,1.0,1,0,Lots of bs from the fellows with the first woman
@susanrivas2076,Positive,0.8424,0.472,0.0,0.528,3,0,I loveeeeeeee  the  dress  Arlette  you look  so elegant  and amazing ❤🎉🎉
@Cyreeta,Negative,-0.717,0.0,0.222,0.778,1,0,Unc in the pleather suit got nerves to say someone looks older he definitly don't look 40 years old. His ssa look about 55 with that suit smh!! He got nerves smh
@rodg21519,Positive,0.7712,0.489,0.0,0.511,0,0,BM & Arlette is over here creating Black Love! 🔥🤎🔥
@frankozil5076,Positive,0.2235,0.127,0.0,0.873,0,0,The first guy should have been a major pick if not for his childish attitude
@taviebivins6192,Neutral,0.0,0.0,0.0,1.0,2,0,He on the show and got a wife I mean ex wife 😂😂😂
@glennbryant237,Neutral,0.0,0.0,0.0,1.0,1,0,1:16:15 IT'S IN THE BIBLE.
@Yourboyjm23,Neutral,0.0,0.0,0.0,1.0,0,0,Boss Chick talks too much.
@evenssandaire4586,Neutral,0.0,0.0,0.0,1.0,0,0,The Florida boys had the ladies on lock
@LydiaAugustin-e6q,Positive,0.751,0.072,0.017,0.911,0,0,"Awh man, the lady in the pink…. She asked if the ex spouse was still living, I thought that’s so odd and even wondered if she was gonna do some voo doo stuff lol. But after she explained why, I get it. She’s talking about soul ties, and the marriages laws in the Bible. There are certain grounds for divorce, in which you are released physically and spiritually. She’s got some knowledge but couldn’t articulate it, even if she did half wouldn’t have understood it. I had to break soul ties myself, it took a lot of work because of the type of person I was connected to. Good for her for even considering that."
@hgooden79,Neutral,0.0,0.0,0.0,1.0,0,0,I’m my mother’s oldest daughter 🤷‍♀️
@carleenkerr1906,Positive,0.2477,0.043,0.033,0.924,4,0,"Lady in pink dress 👚 that asked about married, divorced if the wife is still around. She does not want a man that's divorced, she would prefer a widower. She said your wife is your wife even if you divorced. She is in her faith, the Bible speaks of divorce/put away your wife or husband for one reason Fornication/Adultery. That's where she was going, she don't  believe in Divorced. And technically if you divorced without your partner commit Adultery or Fornication, if you remarried, you're committing Adultery, that's where she was going with that question"
@gwyneth359,Neutral,0.0,0.0,0.0,1.0,1,0,"Black shirt is another ""William"""
@fahblizza,Neutral,0.0,0.0,0.0,1.0,1,0,I can't pinpoint it exactly but the 2nd lady in the green gave me red flag vibes. She just comes off as someone who's controlling.
@CodeInKolor,Positive,0.69,0.161,0.0,0.839,1,0,"Pink dress had an issue with the men raising kids that aren't there's. However, she does the same thing 🤔. Talking about ""I'm ready for my family"" She would want heran to accept her foster kid's. The audacity!🤦🏿‍♀️"
@codyfadipe6897,Neutral,0.0,0.0,0.0,1.0,0,0,Fam….last guy’s hairline….let it go bro
@BadGirlKeeKee,Negative,-0.0516,0.113,0.122,0.766,0,0,The 1st lady in the green seems like she’d be an annoying partner who’d never get over anything ever
@seraigoodson9931,Negative,-0.1531,0.111,0.137,0.752,0,0,Pink dress lady made my head spin. She was all over the place and sounded like broken record omg😭
@nikkinik2020,Positive,0.5574,0.195,0.0,0.805,0,0,The lady in red the widow seems like she needs to heal more and does not know how to communicate well.
@SpiritualLifeCoach43,Positive,0.9493,0.689,0.0,0.311,1,0,"I appreciate the long episode. This was cool. Thank yoooooooooouuuuuuuu. Happy Holidays everyone, be blessed."
@mustafax777,Neutral,0.0,0.0,0.0,1.0,0,0,Too spread out...?...PAUSE
@joanhall2401,Negative,-0.7876,0.0,0.225,0.775,1,0,"I was waiting ✋️ patiently for an episode of men, but they are as messy and shallow as the females😢😢.

Took me five freaking hours to watch🤨🤨🤨"
@YMM0512,Neutral,0.0,0.0,0.0,1.0,2,0,"I can't be the only one who paused the video to Google ""ambivalent."""
@peps77,Neutral,0.0,0.0,0.0,1.0,0,0,Pink dress foster mom seems kinda unhinged.
@k.p.2706,Negative,-0.68,0.0,0.134,0.866,0,0,"20:24 As she clarified, she's not wearing a waist trainer. However, ""tummy tucks"" and lipo are the go-to ""waist trainers"" for those who can afford surgery. The men are clueless and outdated with their insults. 🤭 Try to keep up!"
@cyndihill5615,Positive,0.4003,0.441,0.288,0.27,0,0,Babe Please Please Leave Mr Atlanta alone!
@MsJ.TeacherToTech,Positive,0.4215,0.167,0.0,0.833,0,0,"""Talk to me nice"" 😅😂. She told him right. Leather jacket finally replied. 😅😅 appropriately 😅"
@taviebivins6192,Positive,0.5267,0.459,0.0,0.541,0,0,Congrats the only child 😩🥃
@soullorde9,Negative,-0.6508,0.029,0.092,0.88,0,0,"What you fail to understand is that marriage isnt like dating or having a gf/bf whereas you can ""break up"" or break apart as easily. Marriage IS supposed to be a final decision between two individuals, as you get married youre expected to be eachothers for eternity,  Whats the use of marriage wthout viewing it that way, those who get married and then divorce later just werent ever ready to marry just simply go for the title of being married."
@JC_le_Canadien,Neutral,0.0,0.0,0.0,1.0,0,0,"What does it mean to ""do theology""?"
@KaiKai0,Negative,-0.4019,0.0,0.31,0.69,0,0,This episode is pissing me off fr
@dorothyjones6220,Positive,0.8316,0.386,0.0,0.614,0,0,When you start out in being honest at the beginning. It helps them to make a better decision.
@unymitsu,Negative,-0.5719,0.0,0.183,0.817,1,0,Green Dress got it confused on popping dude for accountability;  that was the first dude who said he put the blame elsewhere 😂😂😂dam
@paulageorge7827,Negative,-0.5423,0.0,0.368,0.632,1,0,I now see y these old ass men single
@gracelong3975,Positive,0.7964,0.283,0.0,0.717,1,0,I understand dating with a purpose but women act like they match on the show n have to get married tomorrow. Relax a little.
@tanishamatthews2540,Negative,-0.4003,0.0,0.473,0.527,0,0,These men are fire!
@dorothyjones6220,Positive,0.9136,0.321,0.0,0.679,0,0,"The lady in the green stated she likes fitness. Or they looking for love are trying to compete? Fitness is Good'Shes SPIRITUAL"". Seems like in their 40's they should work more on their character."
@TheSimoneJanee,Positive,0.3182,0.277,0.0,0.723,0,0,1:21:05 she is a breathe of fresh air ❤
@desiresills7235,Positive,0.2263,0.135,0.111,0.755,1,0,The lady in the pink flower dress was weird af. It’s giving if you ex is alive she’s gonna take her out of here 🥴. She seems crazy. Fellas yall dodged a bullet.
@TheSimoneJanee,Positive,0.5046,0.203,0.079,0.718,0,0,1:19:13 she has to work on being more concise and clear. Even if you’re nervous. Then I felt like she wanted to debate
@473sgpm2,Positive,0.0772,0.058,0.0,0.942,0,0,Melanie doesn’t want anymore kid’s and I understand why she said that seeing as she’s 41 and going to be 42 next week.
@niyafleming7473,Negative,-0.7346,0.0,0.418,0.582,0,0,The woman that was very Nervous whose a Foster Mom and Widowed she’s weird
@kieraallen6968,Negative,-0.4588,0.0,0.273,0.727,1,0,immediately irritated as soon as i saw the first guy
@jamila9603,Positive,0.3182,0.247,0.0,0.753,1,0,"R u sure , you are your father only son, sir.🙄🙄🙄"
@sewl385,Positive,0.5526,0.1,0.0,0.9,0,0,"The woman with the braids who is a widow and in the pink dress, is asking about adultery and every other subject under the sun. She  is a nutcase! They certainly dodged a bullet there! Whew!!"
@Westainthere,Positive,0.3818,0.224,0.0,0.776,0,0,Dear Last DUDE in the lineup~ YA PANTS TOO TIGHT😂
@tefaalhwsawy9384,Positive,0.4588,0.5,0.0,0.5,0,0,fav show this days 😍
@DesirousGirl,Positive,0.4389,0.266,0.0,0.734,1,0,Came here for Arlette’s dress 😍😍 she looks stunning!
@SLM-gd5zh,Positive,0.6696,0.297,0.0,0.703,1,0,It’s something about the first guy! 🤔😏🤨 He’s giving I’m for the streets vibes lol 😂
@shauneedwards5909,Neutral,0.0,0.0,0.0,1.0,0,0,1:03:50  Finally!😊
@elektracompany,Neutral,0.0,0.139,0.139,0.721,0,0,I hope these losers realize that the reason it’s a trend for black men to wear sunglasses—indoors—at night—is because of Diddy. He started that in the 90s. You guys can definitely stop doing that now.
@MsPrissyGlam,Negative,-0.8567,0.0,0.484,0.516,0,0,1:16:08 Girl! I know you’re nervous but WTF ARE YOU TALKING ABOUT?!
@rasheedakins2277,Positive,0.8203,0.285,0.0,0.715,0,0,The widow should stay a widow....she is too much. She needs to attend Truth Of God with Gino Jennings....she isn't wrong about the ex still being alive and adultery
@owengreen8709,Positive,0.0772,0.053,0.0,0.947,0,0,😂😂😂 A weh my father only son tell the woman seh in the pink dress? Him want the woman look inside her soul for answers
@hiramvega9519,Negative,-0.7452,0.0,0.25,0.75,0,0,"the guy in the end needs to get out
 his depression and focus on him he dont care to do nothing"
@deveretmalcolm3579,Positive,0.2263,0.073,0.0,0.927,0,0,Pink dress has not healed from her marriage- she is nice though - but you have to match with her to get the whole story - 😢😢😢
@authorwillsanz,Positive,0.4215,0.112,0.0,0.888,0,0,"These women come on the show acting like they the bees knees. They are too old not to know what Men want. But then again, we see why ALL of them were single. Come in there making demands on what they want. They aren't qualified for the Man they want."
@naeharvey4485,Positive,0.296,0.355,0.0,0.645,0,0,This line up is a joke
@c3t1f13dgoon,Positive,0.4215,0.359,0.0,0.641,0,0,All old & washed up people lol
@kittyboo2121,Negative,-0.7519,0.0,0.265,0.735,0,0,This was the WORST group of men I've seen in here in a VERY long time!  YIKESSS!
@1Jacuzi,Neutral,0.0,0.0,0.0,1.0,0,0,hos she is still your wife if youre divorce i'm they all popped that Koukou
@ThePammi25,Neutral,0.0,0.0,0.0,1.0,1,0,"Black men, you should chill off dating. Mentally ya'll are unstabled"
@elektracompany,Positive,0.7717,0.314,0.0,0.686,0,0,"I don’t like Dan. He seems like he’s a good guy, but there’s something…sinister about him. Like he can be really mean behind closed doors."
@angeladani08,Neutral,0.0243,0.114,0.11,0.776,0,0,19:10 Contestants need to get booted off the show when they get disrespectful like this guy. He not funny
@473sgpm2,Positive,0.4404,0.197,0.0,0.803,0,0,Marixa is 41 and she doesn’t want anymore kid’s is responsible to me. I don’t have any kid’s and I don’t want none either 🤷🏾‍♂️
@shannondaniels8200,Positive,0.6249,0.291,0.0,0.709,0,0,The lady in the blue dress looks great for her age.
@sherrieleak4629,Neutral,0.0,0.0,0.0,1.0,0,0,How many sons ya Momma got?
@anitaroberson5270,Neutral,0.0,0.0,0.0,1.0,0,0,It was a lot of tall women on this episode
@mmm_1927,Neutral,0.0,0.0,0.0,1.0,0,0,I don’t know how Counsel doesn’t get an INSTANT pop when he says ANYTHING he says
@hicks798,Negative,-0.296,0.0,0.167,0.833,0,0,The only person that was missing from the line-up was Bryant 😂😂
@Uchayy,Neutral,0.0,0.0,0.0,1.0,0,0,Lady in pink 😭
@marjukawayahi,Positive,0.7813,0.432,0.0,0.568,1,0,That last couple is really cute! I’m glad they matched together
@callmedavis9342,Positive,0.5106,0.268,0.0,0.732,0,0,Ion trust the last match she ain gone text back
@garymartinez1460,Positive,0.5848,0.487,0.0,0.513,0,0,Unc edition. Merry Christmas everyone!🎄
@landowilliams7903,Neutral,0.0129,0.139,0.137,0.724,0,0,"Arlette, please stop losing weight. You still look stunning but I'm head over heels for you with the weight you had before."
@unymitsu,Positive,0.4404,0.293,0.0,0.707,0,0,"Dam, green dress handled that barrage nicely. Props"
@SLM-gd5zh,Positive,0.865,0.369,0.063,0.568,0,0,Patent leather is a joke! I’m glad she kept it classy and shut him alll the down! Definitely struck a nerve with what she said!
@naomist.georges7299,Neutral,0.0,0.0,0.0,1.0,0,0,Popping at the same time is sus🙄🙄
@alexandriawalker8304,Negative,-0.5588,0.0,0.262,0.738,0,0,"Green dress popping because he was not ready to instantly consider ""living abroad"" was ridiculous"
@toneytone4858,Neutral,0.0,0.0,0.0,1.0,0,0,A few of the women should be allowed to come back..
@DADUO2,Positive,0.4588,0.5,0.0,0.5,0,0,Last match...was my favorite
